figure_id,title,study,main_or_supplement,scientific_question,source_data,script,svg,pdf,png,caption_draft,status,notes
fig01_six_agent_architecture,Six-agent architecture,Study B,MAIN_CANDIDATE,Architecture and evidence flow,paper_artifacts/figures/fig01_six_agent_architecture/source.csv,paper_artifacts/figures/fig01_six_agent_architecture/generate.py,paper_artifacts/figures/fig01_six_agent_architecture/figure.svg,paper_artifacts/figures/fig01_six_agent_architecture/figure.pdf,paper_artifacts/figures/fig01_six_agent_architecture/figure.png,Six-agent architecture. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig02_study_cohort_flow,Study/cohort flow,Studies A/B/C,MAIN_CANDIDATE,Separate denominators and roles,paper_artifacts/figures/fig02_study_cohort_flow/source.csv,paper_artifacts/figures/fig02_study_cohort_flow/generate.py,paper_artifacts/figures/fig02_study_cohort_flow/figure.svg,paper_artifacts/figures/fig02_study_cohort_flow/figure.pdf,paper_artifacts/figures/fig02_study_cohort_flow/figure.png,Study/cohort flow. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig03_annotation_model_benchmark,Annotation model benchmark,Study A,MAIN_CANDIDATE,125-document benchmark performance,paper_artifacts/figures/fig03_annotation_model_benchmark/source.csv,paper_artifacts/figures/fig03_annotation_model_benchmark/generate.py,paper_artifacts/figures/fig03_annotation_model_benchmark/figure.svg,paper_artifacts/figures/fig03_annotation_model_benchmark/figure.pdf,paper_artifacts/figures/fig03_annotation_model_benchmark/figure.png,Annotation model benchmark. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig04_verification_distribution,Verification distribution,Study B,MAIN_CANDIDATE,ACCEPT/HUMAN_REVIEW/NIL distribution,paper_artifacts/figures/fig04_verification_distribution/source.csv,paper_artifacts/figures/fig04_verification_distribution/generate.py,paper_artifacts/figures/fig04_verification_distribution/figure.svg,paper_artifacts/figures/fig04_verification_distribution/figure.pdf,paper_artifacts/figures/fig04_verification_distribution/figure.png,Verification distribution. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig05_resolution_level_distribution,Resolution-level distribution,Study B,MAIN_CANDIDATE,Normalization depth,paper_artifacts/figures/fig05_resolution_level_distribution/source.csv,paper_artifacts/figures/fig05_resolution_level_distribution/generate.py,paper_artifacts/figures/fig05_resolution_level_distribution/figure.svg,paper_artifacts/figures/fig05_resolution_level_distribution/figure.pdf,paper_artifacts/figures/fig05_resolution_level_distribution/figure.png,Resolution-level distribution. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig06_semantic_identifier_coverage,Semantic identifier coverage,Study B/C,MAIN_CANDIDATE,Local and external identifier coverage,paper_artifacts/figures/fig06_semantic_identifier_coverage/source.csv,paper_artifacts/figures/fig06_semantic_identifier_coverage/generate.py,paper_artifacts/figures/fig06_semantic_identifier_coverage/figure.svg,paper_artifacts/figures/fig06_semantic_identifier_coverage/figure.pdf,paper_artifacts/figures/fig06_semantic_identifier_coverage/figure.png,Semantic identifier coverage. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig07_qwen_semantic_audit,Qwen semantic audit,Study C,MAIN_CANDIDATE,Independent automated audit,paper_artifacts/figures/fig07_qwen_semantic_audit/source.csv,paper_artifacts/figures/fig07_qwen_semantic_audit/generate.py,paper_artifacts/figures/fig07_qwen_semantic_audit/figure.svg,paper_artifacts/figures/fig07_qwen_semantic_audit/figure.pdf,paper_artifacts/figures/fig07_qwen_semantic_audit/figure.png,Qwen semantic audit. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig08_qwen_by_resolution,Qwen by resolution level,Study C,SUPPLEMENTARY,Audit labels by resolution,paper_artifacts/figures/fig08_qwen_by_resolution/source.csv,paper_artifacts/figures/fig08_qwen_by_resolution/generate.py,paper_artifacts/figures/fig08_qwen_by_resolution/figure.svg,paper_artifacts/figures/fig08_qwen_by_resolution/figure.pdf,paper_artifacts/figures/fig08_qwen_by_resolution/figure.png,Qwen by resolution level. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig09_qwen_by_verification,Qwen by verification state,Study C,MAIN_CANDIDATE,Audit labels by verification state,paper_artifacts/figures/fig09_qwen_by_verification/source.csv,paper_artifacts/figures/fig09_qwen_by_verification/generate.py,paper_artifacts/figures/fig09_qwen_by_verification/figure.svg,paper_artifacts/figures/fig09_qwen_by_verification/figure.pdf,paper_artifacts/figures/fig09_qwen_by_verification/figure.png,Qwen by verification state. Aggregate data only; no clinical prescription image is shown.,GENERATED,
fig10_intermodel_concordance,Inter-model concordance,Study C,SUPPLEMENTARY,Auditor agreement on overlaps,paper_artifacts/figures/fig10_intermodel_concordance/source.csv,paper_artifacts/figures/fig10_intermodel_concordance/generate.py,paper_artifacts/figures/fig10_intermodel_concordance/figure.svg,paper_artifacts/figures/fig10_intermodel_concordance/figure.pdf,paper_artifacts/figures/fig10_intermodel_concordance/figure.png,Inter-model concordance. Aggregate data only; no clinical prescription image is shown.,GENERATED,
